Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20180101:0800,15.6,12.9,72.0,10.6
3925,20180101:0800,20.5,16.7,66.0,14.0
15752,20180102:0800,17.8,14.6,69.0,12.1
3925,20180102:0800,19.2,17.1,80.0,15.7
15752,20180103:0800,16.5,15.0,84.0,13.8
3925,20180103:0800,20.8,17.4,70.0,15.1
15752,20180104:0800,17.0,16.1,91.0,15.5
3925,20180104:0800,18.2,15.7,76.0,13.9
15752,20180105:0800,14.9,14.9,100.0,14.9
3925,20180105:0800,16.7,15.7,90.0,15.1
15752,20180106:0800,10.9,9.7,85.0,8.5
3925,20180106:0800,17.9,14.8,70.0,12.4
15752,20180107:0800,12.5,9.9,70.0,7.2
3925,20180107:0800,14.2,11.4,69.0,8.6
15752,20180108:0800,14.4,11.1,64.0,7.7
3925,20180108:0800,13.5,11.7,79.0,9.9
15752,20180109:0800,18.1,14.5,66.0,11.7
3925,20180109:0800,16.9,15.6,87.0,14.7
15752,20180110:0800,15.8,13.3,74.0,11.2
3925,20180110:0800,19.2,18.1,89.0,17.3
15752,20180111:0800,15.7,13.8,80.0,12.3
3925,20180111:0800,17.6,17.2,96.0,17.0
15752,20180112:0800,14.7,12.5,76.0,10.5
3925,20180112:0800,17.2,16.3,91.0,15.7
15752,20180113:0800,16.2,14.1,78.0,12.4
3925,20180113:0800,16.1,15.5,94.0,15.1
15752,20180114:0800,18.1,16.4,83.0,15.2
3925,20180114:0800,20.5,18.0,77.0,16.3
15752,20180115:0800,19.0,17.0,81.0,15.7
3925,20180115:0800,18.8,17.2,84.0,16.1
15752,20180116:0800,23.1,17.7,56.0,13.9
3925,20180116:0800,19.1,17.9,88.0,17.1
15752,20180117:0800,16.3,15.6,93.0,15.2
3925,20180117:0800,20.6,16.9,67.0,14.3
15752,20180118:0800,17.7,16.4,87.0,15.5
3925,20180118:0800,20.2,18.0,80.0,16.6
15752,20180119:0800,14.5,14.1,95.0,13.7
3925,20180119:0800,18.5,16.5,81.0,15.2
15752,20180120:0800,20.1,17.0,72.0,14.9
3925,20180120:0800,18.6,17.1,85.0,16.0
15752,20180121:0800,15.7,14.2,84.0,13.0
3925,20180121:0800,19.1,17.3,83.0,16.2
15752,20180122:0800,18.2,17.0,88.0,16.2
3925,20180122:0800,18.6,17.1,85.0,16.0
15752,20180123:0800,20.0,17.3,75.0,15.4
3925,20180123:0800,19.7,18.2,86.0,17.3
15752,20180124:0800,18.2,16.6,84.0,15.5
3925,20180124:0800,20.4,17.8,76.0,16.0
15752,20180125:0800,18.7,17.0,83.0,15.8
3925,20180125:0800,20.3,18.8,86.0,17.9
15752,20180126:0800,15.9,13.0,70.0,10.5
3925,20180126:0800,19.7,18.1,85.0,17.1
