Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20170101:0800,15.6,14.3,86.0,13.3
3925,20170101:0800,18.2,17.2,90.0,16.5
15752,20170102:0800,10.4,8.2,72.0,5.6
3925,20170102:0800,16.0,14.5,84.0,13.3
15752,20170103:0800,11.2,10.3,89.0,9.5
3925,20170103:0800,14.2,13.7,94.0,13.2
15752,20170104:0800,10.5,7.3,60.0,3.1
3925,20170104:0800,11.8,10.5,84.0,9.2
15752,20170105:0800,10.2,7.3,64.0,3.7
3925,20170105:0800,9.3,8.0,83.0,6.6
15752,20170106:0800,13.8,9.5,53.0,4.4
3925,20170106:0800,10.5,9.4,86.0,8.3
15752,20170107:0800,11.5,9.0,70.0,6.2
3925,20170107:0800,11.6,10.3,84.0,9.0
15752,20170108:0800,11.0,10.2,90.0,9.4
3925,20170108:0800,10.7,10.0,91.0,9.3
15752,20170109:0800,11.2,8.7,69.0,5.7
3925,20170109:0800,14.4,13.1,85.0,11.9
15752,20170110:0800,14.0,11.5,72.0,9.1
3925,20170110:0800,16.2,14.3,80.0,12.8
15752,20170111:0800,14.7,12.6,77.0,10.7
3925,20170111:0800,15.4,14.7,92.0,14.1
15752,20170112:0800,14.6,12.8,80.0,11.2
3925,20170112:0800,16.7,15.9,92.0,15.4
15752,20170113:0800,12.2,9.0,63.0,5.4
3925,20170113:0800,12.8,11.9,89.0,11.0
15752,20170114:0800,12.6,10.3,73.0,7.9
3925,20170114:0800,12.0,10.5,82.0,9.0
15752,20170115:0800,17.3,13.2,60.0,9.5
3925,20170115:0800,17.8,17.0,92.0,16.5
15752,20170116:0800,16.9,9.9,34.0,1.0
3925,20170116:0800,12.7,11.1,81.0,9.5
15752,20170117:0800,13.1,11.6,83.0,10.3
3925,20170117:0800,13.9,13.3,93.0,12.8
15752,20170118:0800,13.1,10.3,68.0,7.3
3925,20170118:0800,16.8,16.2,94.0,15.8
15752,20170119:0800,9.8,7.4,69.0,4.4
3925,20170119:0800,11.5,10.8,91.0,10.1
15752,20170120:0800,10.1,7.4,66.0,4.1
3925,20170120:0800,10.4,9.2,85.0,8.0
15752,20170121:0800,12.8,10.6,75.0,8.5
3925,20170121:0800,8.0,7.7,95.0,7.3
15752,20170122:0800,12.3,12.1,97.0,11.9
3925,20170122:0800,14.2,13.9,96.0,13.6
15752,20170123:0800,10.2,9.4,90.0,8.6
3925,20170123:0800,14.4,13.3,88.0,12.5
15752,20170124:0800,14.7,11.8,69.0,9.1
3925,20170124:0800,13.6,12.2,84.0,11.0
15752,20170125:0800,12.6,10.6,76.0,8.5
3925,20170125:0800,15.1,14.5,93.0,14.0
15752,20170126:0800,15.6,12.5,68.0,9.7
3925,20170126:0800,9.0,8.5,93.0,7.9
15752,20170127:0800,12.1,10.7,83.0,9.3
3925,20170127:0800,13.9,13.6,97.0,13.4
15752,20170128:0800,13.1,10.0,65.0,6.7
3925,20170128:0800,12.6,11.3,84.0,10.0
15752,20170129:0800,15.7,13.1,73.0,10.9
3925,20170129:0800,11.3,10.0,84.0,8.7
15752,20170130:0800,13.5,9.2,53.0,4.1
3925,20170130:0800,14.6,14.3,96.0,14.0
15752,20170131:0800,25.8,17.3,39.0,10.8
3925,20170131:0800,11.7,10.6,87.0,9.6
15752,20170201:0800,12.8,11.2,81.0,9.6
3925,20170201:0800,17.8,16.8,90.0,16.1
15752,20170202:0800,13.9,12.3,82.0,10.9
3925,20170202:0800,9.6,8.5,86.0,7.4
15752,20170203:0800,14.0,11.7,74.0,9.5
3925,20170203:0800,13.5,13.0,94.0,12.6
15752,20170204:0800,17.2,12.5,55.0,8.1
3925,20170204:0800,11.1,10.4,91.0,9.7
15752,20170205:0800,15.2,13.6,83.0,12.3
3925,20170205:0800,13.6,12.1,83.0,10.8
15752,20170206:0800,22.6,15.1,41.0,8.7
3925,20170206:0800,13.5,12.6,89.0,11.7
15752,20170207:0800,12.4,9.6,67.0,6.5
3925,20170207:0800,17.4,16.8,94.0,16.4
15752,20170208:0800,10.9,7.9,63.0,4.2
3925,20170208:0800,9.9,9.0,88.0,8.0
15752,20170209:0800,11.8,9.2,69.0,6.3
3925,20170209:0800,11.2,9.3,76.0,7.1
15752,20170210:0800,13.5,10.9,71.0,8.4
3925,20170210:0800,11.7,10.6,86.0,9.5
15752,20170211:0800,13.3,11.8,83.0,10.5
3925,20170211:0800,8.7,8.6,98.0,8.4
15752,20170212:0800,18.7,14.6,62.0,11.3
3925,20170212:0800,15.5,13.4,78.0,11.7
15752,20170213:0800,9.4,8.8,92.0,8.2
3925,20170213:0800,15.6,15.0,93.0,14.5
15752,20170214:0800,9.9,8.8,86.0,7.7
3925,20170214:0800,12.8,12.3,94.0,11.9
15752,20170215:0800,12.1,8.4,57.0,3.9
3925,20170215:0800,8.3,8.0,96.0,7.7
15752,20170216:0800,13.1,11.7,84.0,10.5
3925,20170216:0800,8.8,8.2,92.0,7.6
15752,20170217:0800,14.0,12.8,86.0,11.7
3925,20170217:0800,12.2,11.7,94.0,11.3
15752,20170218:0800,15.7,14.0,82.0,12.6
3925,20170218:0800,16.5,15.0,84.0,13.8
15752,20170219:0800,17.6,15.8,82.0,14.5
3925,20170219:0800,17.3,16.6,93.0,16.2
15752,20170220:0800,15.4,14.9,94.0,14.4
3925,20170220:0800,16.7,15.7,90.0,15.1
15752,20170221:0800,17.5,16.6,91.0,16.0
3925,20170221:0800,16.7,16.0,93.0,15.6
15752,20170222:0800,15.3,14.5,91.0,13.9
3925,20170222:0800,17.3,16.3,90.0,15.6
15752,20170223:0800,13.8,12.2,82.0,10.8
3925,20170223:0800,17.1,15.9,88.0,15.1
15752,20170224:0800,15.2,13.6,83.0,12.3
3925,20170224:0800,18.8,16.6,79.0,15.1
15752,20170225:0800,15.7,13.5,77.0,11.7
3925,20170225:0800,13.3,12.0,85.0,10.8
15752,20170226:0800,12.6,9.7,67.0,6.7
3925,20170226:0800,15.4,13.4,79.0,11.8
15752,20170227:0800,12.4,10.1,73.0,7.7
3925,20170227:0800,14.7,13.3,85.0,12.2
15752,20170228:0800,13.4,11.7,81.0,10.2
3925,20170228:0800,13.0,12.3,92.0,11.7
15752,20170301:0800,14.1,12.6,83.0,11.3
