Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20190101:0800,16.0,14.5,84.0,13.3
3925,20190101:0800,18.0,16.2,82.0,14.9
15752,20190102:0800,21.1,18.1,73.0,16.1
3925,20190102:0800,19.6,17.7,82.0,16.5
15752,20190103:0800,17.4,14.7,73.0,12.5
3925,20190103:0800,19.1,17.2,82.0,16.0
15752,20190104:0800,14.6,10.9,61.0,7.2
3925,20190104:0800,15.5,12.1,65.0,9.0
15752,20190105:0800,17.8,14.9,72.0,12.7
3925,20190105:0800,14.4,12.4,78.0,10.6
15752,20190106:0800,12.8,12.2,93.0,11.7
3925,20190106:0800,18.6,17.4,88.0,16.6
15752,20190107:0800,15.1,12.8,75.0,10.7
3925,20190107:0800,16.0,12.9,68.0,10.1
15752,20190108:0800,16.0,12.9,68.0,10.1
3925,20190108:0800,17.0,13.0,61.0,9.5
15752,20190109:0800,17.9,15.5,76.0,13.6
3925,20190109:0800,15.9,13.9,79.0,12.3
15752,20190110:0800,14.6,13.2,85.0,12.1
3925,20190110:0800,18.7,17.9,92.0,17.4
15752,20190111:0800,13.8,11.7,76.0,9.7
3925,20190111:0800,18.2,13.7,58.0,9.8
15752,20190112:0800,13.6,10.1,61.0,6.3
3925,20190112:0800,13.9,11.1,69.0,8.3
15752,20190113:0800,16.0,14.2,81.0,12.8
3925,20190113:0800,14.9,13.3,82.0,11.9
15752,20190114:0800,14.3,11.7,72.0,9.3
3925,20190114:0800,13.6,12.5,87.0,11.5
15752,20190115:0800,14.0,11.8,75.0,9.7
3925,20190115:0800,13.1,10.1,66.0,6.9
15752,20190116:0800,16.4,13.7,72.0,11.4
3925,20190116:0800,13.6,10.3,63.0,6.7
15752,20190117:0800,18.0,15.0,71.0,12.7
3925,20190117:0800,14.9,13.5,85.0,12.4
15752,20190118:0800,14.1,12.9,86.0,11.8
3925,20190118:0800,17.4,15.2,78.0,13.5
15752,20190119:0800,16.2,15.3,90.0,14.6
3925,20190119:0800,17.7,15.9,82.0,14.6
15752,20190120:0800,15.0,10.6,54.0,5.8
3925,20190120:0800,13.2,11.7,83.0,10.4
15752,20190121:0800,15.7,11.6,58.0,7.5
3925,20190121:0800,15.4,14.2,87.0,13.3
15752,20190122:0800,14.4,11.6,70.0,9.0
3925,20190122:0800,12.9,11.7,86.0,10.6
15752,20190123:0800,15.1,13.5,83.0,12.2
3925,20190123:0800,17.5,16.8,93.0,16.4
15752,20190124:0800,11.7,8.9,66.0,5.6
3925,20190124:0800,12.1,11.2,89.0,10.3
15752,20190125:0800,13.2,10.3,67.0,7.2
3925,20190125:0800,10.4,9.7,91.0,9.0
15752,20190126:0800,15.3,12.8,73.0,10.5
3925,20190126:0800,13.8,11.8,78.0,10.0
15752,20190127:0800,17.9,15.7,78.0,14.0
3925,20190127:0800,16.4,14.2,77.0,12.4
15752,20190128:0800,18.6,18.4,98.0,18.3
3925,20190128:0800,22.3,19.9,79.0,18.5
15752,20190129:0800,19.0,16.3,74.0,14.3
3925,20190129:0800,18.1,16.2,81.0,14.8
15752,20190130:0800,19.3,17.6,84.0,16.5
3925,20190130:0800,16.0,14.9,88.0,14.0
15752,20190131:0800,21.9,18.4,70.0,16.2
3925,20190131:0800,16.3,15.5,91.0,14.8
15752,20190201:0800,19.8,16.6,71.0,14.4
3925,20190201:0800,19.4,16.8,76.0,15.1
15752,20190202:0800,13.6,10.1,61.0,6.3
3925,20190202:0800,12.5,10.3,74.0,8.0
15752,20190203:0800,14.7,11.8,69.0,9.1
3925,20190203:0800,12.3,11.3,88.0,10.4
15752,20190204:0800,14.9,13.9,89.0,13.1
3925,20190204:0800,15.4,12.7,71.0,10.2
15752,20190205:0800,16.0,15.3,92.0,14.7
3925,20190205:0800,15.3,12.5,70.0,9.9
15752,20190206:0800,11.8,8.6,62.0,4.8
3925,20190206:0800,17.4,16.0,86.0,15.0
15752,20190207:0800,13.4,10.8,71.0,8.3
3925,20190207:0800,14.8,11.4,64.0,8.1
15752,20190208:0800,15.8,13.0,71.0,10.6
3925,20190208:0800,15.3,13.3,79.0,11.7
15752,20190209:0800,19.7,15.6,63.0,12.5
3925,20190209:0800,16.4,15.5,90.0,14.8
15752,20190210:0800,22.4,16.0,48.0,10.9
3925,20190210:0800,13.6,13.2,95.0,12.8
15752,20190211:0800,20.5,14.8,51.0,10.0
3925,20190211:0800,13.2,12.9,96.0,12.6
15752,20190212:0800,18.0,16.3,83.0,15.1
3925,20190212:0800,15.9,15.2,92.0,14.6
15752,20190213:0800,18.8,16.9,82.0,15.7
3925,20190213:0800,16.6,15.0,83.0,13.7
15752,20190214:0800,17.6,16.5,89.0,15.8
3925,20190214:0800,15.9,14.5,85.0,13.4
15752,20190215:0800,14.6,12.1,73.0,9.8
3925,20190215:0800,16.0,13.1,70.0,10.6
15752,20190216:0800,11.4,9.2,73.0,6.7
