Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20170103:0500,12.3,10.2,75.0,8.0
3925,20170103:0500,13.9,13.4,94.0,13.0
15752,20170103:0600,11.8,10.1,79.0,8.3
3925,20170103:0600,13.8,13.4,95.0,13.0
15752,20170103:0700,11.4,10.4,87.0,9.3
3925,20170103:0700,14.0,13.6,95.0,13.2
15752,20170103:0800,11.2,10.3,89.0,9.5
3925,20170103:0800,14.2,13.7,94.0,13.2
15752,20170103:0900,11.8,10.9,89.0,10.1
3925,20170103:0900,14.4,13.7,92.0,13.1
15752,20170103:1000,12.2,11.2,88.0,10.3
3925,20170103:1000,14.8,14.1,92.0,13.5
15752,20170103:1100,12.7,11.7,88.0,10.8
3925,20170103:1100,15.1,14.3,91.0,13.6
15752,20170103:1200,13.6,12.4,86.0,11.3
3925,20170103:1200,15.8,14.8,89.0,14.0
15752,20170103:1300,13.3,12.3,88.0,11.4
3925,20170103:1300,16.4,14.8,83.0,13.5
15752,20170103:1400,15.0,13.3,82.0,12.0
3925,20170103:1400,15.7,14.1,83.0,12.8
15752,20170103:1500,15.6,13.6,79.0,12.0
3925,20170103:1500,16.0,14.8,87.0,13.8
15752,20170103:1600,16.1,13.9,77.0,12.1
3925,20170103:1600,16.4,14.8,83.0,13.5
15752,20170103:1700,14.3,13.1,87.0,12.2
3925,20170103:1700,16.3,14.9,85.0,13.8
15752,20170103:1800,13.1,12.6,94.0,12.2
3925,20170103:1800,16.3,14.8,84.0,13.6
15752,20170103:1900,12.8,12.5,96.0,12.2
3925,20170103:1900,16.0,14.7,86.0,13.7
15752,20170103:2000,12.2,10.7,82.0,9.2
3925,20170103:2000,15.4,14.6,91.0,13.9
15752,20170103:2100,12.0,10.1,77.0,8.1
3925,20170103:2100,13.9,13.1,91.0,12.5
15752,20170103:2200,11.1,9.0,74.0,6.7
3925,20170103:2200,13.2,12.4,91.0,11.8
15752,20170103:2300,10.4,8.4,75.0,6.2
3925,20170103:2300,13.0,12.3,92.0,11.7
15752,20170104:0000,9.9,7.8,73.0,5.3
3925,20170104:0000,12.7,12.2,94.0,11.8
15752,20170104:0100,9.5,7.3,71.0,4.5
3925,20170104:0100,12.4,12.0,95.0,11.6
15752,20170104:0200,8.9,6.9,73.0,4.4
3925,20170104:0200,12.5,12.2,96.0,11.9
15752,20170104:0300,7.3,6.0,81.0,4.3
3925,20170104:0300,12.2,11.6,93.0,11.1
15752,20170104:0400,11.2,8.2,64.0,4.7
3925,20170104:0400,11.5,10.8,91.0,10.1
15752,20170104:0500,10.3,8.1,72.0,5.5
3925,20170104:0500,11.3,10.7,92.0,10.1
15752,20170104:0600,9.9,7.4,68.0,4.3
3925,20170104:0600,10.9,10.1,90.0,9.3
15752,20170104:0700,10.4,7.4,63.0,3.7
3925,20170104:0700,11.3,10.2,86.0,9.0
15752,20170104:0800,10.5,7.3,60.0,3.1
3925,20170104:0800,11.8,10.5,84.0,9.2
15752,20170104:0900,10.5,7.4,61.0,3.3
3925,20170104:0900,12.9,11.0,78.0,9.2
15752,20170104:1000,8.3,6.3,72.0,3.6
3925,20170104:1000,13.0,11.1,78.0,9.3
15752,20170104:1100,8.5,6.4,72.0,3.8
3925,20170104:1100,13.3,12.4,89.0,11.5
15752,20170104:1200,10.7,8.0,67.0,4.8
3925,20170104:1200,16.4,12.9,65.0,9.8
15752,20170104:1300,11.0,8.1,64.0,4.5
3925,20170104:1300,14.5,10.6,58.0,6.4
15752,20170104:1400,9.8,7.5,70.0,4.6
3925,20170104:1400,15.1,11.0,57.0,6.7
15752,20170104:1500,9.1,7.5,78.0,5.5
3925,20170104:1500,14.6,10.6,58.0,6.5
15752,20170104:1600,10.6,8.0,67.0,4.8
3925,20170104:1600,13.3,10.4,67.0,7.3
15752,20170104:1700,11.9,8.2,57.0,3.7
3925,20170104:1700,14.3,10.0,54.0,5.1
15752,20170104:1800,10.5,7.7,65.0,4.2
3925,20170104:1800,14.9,9.9,48.0,4.0
15752,20170104:1900,11.4,7.8,57.0,3.2
3925,20170104:1900,11.9,9.0,66.0,5.8
15752,20170104:2000,10.6,6.9,55.0,2.0
3925,20170104:2000,8.2,7.1,84.0,5.7
15752,20170104:2100,8.9,6.6,69.0,3.6
3925,20170104:2100,7.2,6.5,89.0,5.5
15752,20170104:2200,9.2,6.9,69.0,3.8
3925,20170104:2200,7.5,6.6,87.0,5.5
15752,20170104:2300,8.5,6.2,69.0,3.1
3925,20170104:2300,7.5,6.6,87.0,5.5
15752,20170105:0000,8.0,6.1,73.0,3.5
3925,20170105:0000,6.9,6.1,88.0,5.1
15752,20170105:0100,8.1,6.2,74.0,3.8
3925,20170105:0100,6.3,5.6,90.0,4.8
15752,20170105:0200,7.8,6.0,75.0,3.7
3925,20170105:0200,5.6,5.1,92.0,4.4
15752,20170105:0300,7.9,6.0,73.0,3.4
3925,20170105:0300,5.3,4.8,92.0,4.1
15752,20170105:0400,8.0,6.0,72.0,3.3
3925,20170105:0400,4.9,4.4,92.0,3.7
15752,20170105:0500,8.2,6.2,72.0,3.5
3925,20170105:0500,4.4,4.0,94.0,3.5
15752,20170105:0600,8.6,6.3,69.0,3.2
3925,20170105:0600,4.6,4.3,95.0,3.9
15752,20170105:0700,9.4,6.7,65.0,3.2
3925,20170105:0700,6.8,6.1,89.0,5.1
15752,20170105:0800,10.2,7.3,64.0,3.7
3925,20170105:0800,9.3,8.0,83.0,6.6
15752,20170105:0900,12.1,8.4,57.0,3.9
3925,20170105:0900,10.7,9.4,83.0,8.0
15752,20170105:1000,13.4,9.0,52.0,3.8
3925,20170105:1000,12.9,10.8,76.0,8.8
15752,20170105:1100,13.9,9.4,52.0,4.2
3925,20170105:1100,15.3,12.1,66.0,9.0
15752,20170105:1200,14.6,10.6,58.0,6.5
3925,20170105:1200,17.6,11.8,46.0,5.9
15752,20170105:1300,14.7,10.3,54.0,5.5
3925,20170105:1300,19.5,13.0,43.0,6.6
15752,20170105:1400,13.9,10.3,61.0,6.5
3925,20170105:1400,20.3,13.4,41.0,6.6
15752,20170105:1500,14.4,11.0,63.0,7.5
3925,20170105:1500,20.6,13.9,43.0,7.6
15752,20170105:1600,14.1,10.5,61.0,6.7
3925,20170105:1600,21.2,14.6,45.0,8.8
15752,20170105:1700,13.7,10.6,66.0,7.5
3925,20170105:1700,19.0,13.7,52.0,9.0
15752,20170105:1800,13.5,10.3,64.0,6.8
3925,20170105:1800,18.4,13.6,55.0,9.2
15752,20170105:1900,12.5,9.7,68.0,6.8
3925,20170105:1900,17.7,12.8,54.0,8.3
15752,20170105:2000,11.3,9.0,72.0,6.4
3925,20170105:2000,16.0,11.7,57.0,7.5
15752,20170105:2100,10.8,8.7,74.0,6.4
3925,20170105:2100,14.1,10.0,56.0,5.5
15752,20170105:2200,10.8,8.8,75.0,6.6
3925,20170105:2200,12.2,9.3,66.0,6.0
15752,20170105:2300,10.6,8.7,76.0,6.6
3925,20170105:2300,10.6,8.7,76.0,6.6
15752,20170106:0000,10.2,8.6,79.0,6.7
3925,20170106:0000,8.9,7.7,84.0,6.4
15752,20170106:0100,9.9,8.4,81.0,6.8
3925,20170106:0100,8.2,7.4,88.0,6.4
15752,20170106:0200,9.3,8.0,83.0,6.6
3925,20170106:0200,8.5,7.8,90.0,7.0
15752,20170106:0300,9.8,8.4,82.0,6.9
3925,20170106:0300,8.4,7.8,92.0,7.2
15752,20170106:0400,10.2,8.8,82.0,7.3
3925,20170106:0400,9.1,8.4,90.0,7.6
15752,20170106:0500,10.6,8.9,78.0,6.9
3925,20170106:0500,9.1,8.4,90.0,7.6
15752,20170106:0600,11.2,9.4,78.0,7.5
3925,20170106:0600,9.3,8.6,91.0,7.9
15752,20170106:0700,12.5,9.6,66.0,6.3
3925,20170106:0700,9.7,9.0,90.0,8.2
15752,20170106:0800,13.8,9.5,53.0,4.4
3925,20170106:0800,10.5,9.4,86.0,8.3
