Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20180101:0000,11.6,11.3,96.0,11.0
3925,20180101:0000,16.9,15.6,87.0,14.7
15752,20180101:0100,11.9,10.8,86.0,9.6
3925,20180101:0100,16.9,15.5,86.0,14.6
15752,20180101:0200,11.9,10.8,86.0,9.6
3925,20180101:0200,16.8,15.5,87.0,14.6
15752,20180101:0300,11.8,10.3,82.0,8.8
3925,20180101:0300,16.5,15.5,89.0,14.7
15752,20180101:0400,11.8,10.5,84.0,9.2
3925,20180101:0400,16.9,15.2,83.0,14.0
15752,20180101:0500,11.6,10.9,91.0,10.2
3925,20180101:0500,16.7,15.5,87.0,14.5
15752,20180101:0600,12.2,11.5,92.0,10.9
3925,20180101:0600,15.7,14.6,88.0,13.7
15752,20180101:0700,14.8,12.8,78.0,11.0
3925,20180101:0700,17.0,15.6,86.0,14.7
15752,20180101:0800,15.6,12.9,72.0,10.6
3925,20180101:0800,20.5,16.7,66.0,14.0
15752,20180101:0900,17.3,12.6,55.0,8.2
3925,20180101:0900,21.6,17.2,62.0,14.0
15752,20180101:1000,17.6,12.3,50.0,7.1
3925,20180101:1000,23.4,18.0,57.0,14.4
15752,20180101:1100,18.3,13.7,57.0,9.7
3925,20180101:1100,24.8,17.8,47.0,12.7
15752,20180101:1200,18.3,13.8,58.0,9.9
3925,20180101:1200,25.4,18.3,47.0,13.3
15752,20180101:1300,18.5,14.2,60.0,10.6
3925,20180101:1300,24.9,18.6,52.0,14.4
15752,20180101:1400,18.0,13.8,60.0,10.1
3925,20180101:1400,24.0,18.6,57.0,15.0
15752,20180101:1500,18.1,14.4,65.0,11.4
3925,20180101:1500,25.4,19.3,54.0,15.4
15752,20180101:1600,17.8,14.0,63.0,10.7
3925,20180101:1600,24.5,19.4,60.0,16.2
15752,20180101:1700,17.3,13.8,66.0,10.9
3925,20180101:1700,24.5,19.1,58.0,15.7
15752,20180101:1800,16.9,13.8,69.0,11.2
3925,20180101:1800,24.5,19.4,60.0,16.2
15752,20180101:1900,16.3,13.7,73.0,11.5
3925,20180101:1900,22.5,18.5,66.0,15.8
15752,20180101:2000,15.3,13.4,80.0,11.9
3925,20180101:2000,20.6,17.6,73.0,15.6
15752,20180101:2100,14.9,13.3,83.0,12.0
3925,20180101:2100,19.6,17.1,77.0,15.5
15752,20180101:2200,15.0,13.8,87.0,12.9
3925,20180101:2200,18.4,16.6,82.0,15.3
15752,20180101:2300,15.1,14.0,88.0,13.1
3925,20180101:2300,17.8,16.2,84.0,15.1
15752,20180102:0000,15.1,14.0,88.0,13.1
3925,20180102:0000,17.4,16.0,86.0,15.0
15752,20180102:0100,15.1,14.4,92.0,13.8
3925,20180102:0100,17.3,15.8,85.0,14.8
15752,20180102:0200,14.8,13.7,88.0,12.8
3925,20180102:0200,16.8,15.4,86.0,14.4
