Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20160101:0000,12.8,12.0,90.0,11.2
3925,20160101:0000,14.8,13.3,84.0,12.1
15752,20160101:0100,12.2,10.6,81.0,9.1
3925,20160101:0100,13.7,12.7,88.0,11.8
15752,20160101:0200,11.9,10.8,86.0,9.6
3925,20160101:0200,12.9,12.2,92.0,11.6
15752,20160101:0300,12.5,11.6,89.0,10.7
3925,20160101:0300,12.4,11.7,92.0,11.2
15752,20160101:0400,12.0,11.2,90.0,10.4
3925,20160101:0400,12.8,12.3,94.0,11.9
15752,20160101:0500,10.9,8.9,75.0,6.7
3925,20160101:0500,11.5,11.0,94.0,10.6
15752,20160101:0600,12.1,10.3,78.0,8.4
3925,20160101:0600,11.3,11.0,96.0,10.7
15752,20160101:0700,14.8,12.2,72.0,9.8
3925,20160101:0700,14.2,13.4,91.0,12.8
15752,20160101:0800,16.4,13.0,66.0,10.0
3925,20160101:0800,17.1,15.3,82.0,14.0
15752,20160101:0900,16.9,13.7,68.0,11.0
3925,20160101:0900,19.9,16.8,72.0,14.7
15752,20160101:1000,17.9,15.5,76.0,13.6
3925,20160101:1000,22.5,17.9,62.0,14.9
15752,20160101:1100,18.1,15.3,73.0,13.2
3925,20160101:1100,25.3,17.2,41.0,11.1
15752,20160101:1200,19.0,15.6,68.0,13.0
3925,20160101:1200,27.1,17.8,36.0,10.8
15752,20160101:1300,18.6,16.4,79.0,14.9
3925,20160101:1300,28.6,18.5,34.0,11.2
15752,20160101:1400,21.1,15.4,52.0,10.9
3925,20160101:1400,30.0,19.6,34.0,12.4
15752,20160101:1500,21.3,15.9,54.0,11.6
3925,20160101:1500,30.0,19.8,35.0,12.9
15752,20160101:1600,20.9,15.5,54.0,11.3
3925,20160101:1600,29.0,19.4,37.0,12.9
15752,20160101:1700,22.0,16.5,54.0,12.3
3925,20160101:1700,27.7,18.9,40.0,12.9
15752,20160101:1800,21.4,16.9,61.0,13.6
3925,20160101:1800,26.7,18.2,40.0,12.0
15752,20160101:1900,19.0,16.7,78.0,15.1
3925,20160101:1900,24.8,16.9,41.0,10.7
15752,20160101:2000,16.4,15.0,85.0,13.9
3925,20160101:2000,22.0,16.1,51.0,11.4
15752,20160101:2100,15.3,14.0,86.0,13.0
3925,20160101:2100,21.1,16.0,56.0,12.0
15752,20160101:2200,14.6,14.1,94.0,13.7
3925,20160101:2200,20.0,16.1,65.0,13.2
15752,20160101:2300,14.4,13.7,92.0,13.1
3925,20160101:2300,19.2,16.0,70.0,13.6
15752,20160102:0000,14.0,13.1,90.0,12.4
3925,20160102:0000,18.7,15.8,72.0,13.6
15752,20160102:0100,13.1,12.4,92.0,11.8
3925,20160102:0100,18.4,16.3,80.0,14.9
15752,20160102:0200,12.8,12.4,95.0,12.0
3925,20160102:0200,16.9,15.9,90.0,15.3
15752,20160102:0300,12.5,11.8,92.0,11.3
3925,20160102:0300,16.9,15.9,90.0,15.3
15752,20160102:0400,12.6,12.2,95.0,11.8
3925,20160102:0400,16.8,16.0,92.0,15.5
15752,20160102:0500,13.0,12.2,91.0,11.6
3925,20160102:0500,16.7,16.0,93.0,15.6
