Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20190101:0000,14.3,13.2,88.0,12.3
3925,20190101:0000,16.4,15.1,86.0,14.1
15752,20190101:0100,14.4,13.5,90.0,12.8
3925,20190101:0100,15.5,14.7,91.0,14.0
15752,20190101:0200,14.6,13.9,92.0,13.3
3925,20190101:0200,15.3,14.5,91.0,13.9
15752,20190101:0300,15.0,14.0,89.0,13.2
3925,20190101:0300,14.5,13.8,92.0,13.2
15752,20190101:0400,15.0,13.9,88.0,13.0
3925,20190101:0400,14.7,14.2,94.0,13.8
15752,20190101:0500,14.8,13.7,88.0,12.8
3925,20190101:0500,14.9,14.2,92.0,13.6
15752,20190101:0600,14.8,13.7,88.0,12.8
3925,20190101:0600,15.6,14.8,91.0,14.1
15752,20190101:0700,15.2,13.9,86.0,12.9
3925,20190101:0700,16.3,15.3,89.0,14.5
15752,20190101:0800,16.0,14.5,84.0,13.3
3925,20190101:0800,18.0,16.2,82.0,14.9
15752,20190101:0900,17.4,15.1,77.0,13.3
3925,20190101:0900,20.0,17.1,73.0,15.0
15752,20190101:1000,20.0,16.6,69.0,14.2
3925,20190101:1000,23.1,17.9,58.0,14.4
15752,20190101:1100,19.0,16.3,74.0,14.3
3925,20190101:1100,24.5,18.6,54.0,14.6
15752,20190101:1200,20.1,17.3,74.0,15.3
3925,20190101:1200,25.4,19.0,52.0,14.8
15752,20190101:1300,20.7,17.7,73.0,15.7
3925,20190101:1300,26.1,19.6,52.0,15.5
15752,20190101:1400,21.0,17.6,70.0,15.3
3925,20190101:1400,25.8,19.0,50.0,14.6
15752,20190101:1500,21.6,18.0,69.0,15.7
3925,20190101:1500,24.1,18.4,55.0,14.5
15752,20190101:1600,20.2,17.5,75.0,15.6
3925,20190101:1600,22.1,19.1,74.0,17.3
15752,20190101:1700,19.3,17.2,80.0,15.8
3925,20190101:1700,22.2,19.1,73.0,17.1
15752,20190101:1800,18.9,17.1,83.0,16.0
3925,20190101:1800,21.9,18.3,69.0,16.0
15752,20190101:1900,20.2,17.8,78.0,16.3
3925,20190101:1900,22.1,18.4,68.0,15.9
15752,20190101:2000,21.8,18.0,67.0,15.4
3925,20190101:2000,20.2,17.8,78.0,16.3
15752,20190101:2100,22.2,17.4,60.0,14.1
3925,20190101:2100,19.6,17.5,80.0,16.1
15752,20190101:2200,19.3,17.2,80.0,15.8
3925,20190101:2200,19.2,17.4,83.0,16.3
15752,20190101:2300,19.4,17.3,80.0,15.9
3925,20190101:2300,18.8,17.3,85.0,16.2
15752,20190102:0000,19.8,16.6,71.0,14.4
3925,20190102:0000,18.6,17.3,87.0,16.4
15752,20190102:0100,19.0,16.4,75.0,14.5
3925,20190102:0100,18.3,17.2,89.0,16.5
15752,20190102:0200,17.6,15.8,82.0,14.5
3925,20190102:0200,17.9,16.9,90.0,16.3
15752,20190102:0300,17.6,15.8,82.0,14.5
3925,20190102:0300,17.8,16.9,91.0,16.3
15752,20190102:0400,17.0,15.6,86.0,14.7
3925,20190102:0400,17.4,16.6,92.0,16.1
15752,20190102:0500,16.5,15.5,89.0,14.7
3925,20190102:0500,16.9,16.1,92.0,15.6
15752,20190102:0600,17.4,16.3,89.0,15.6
3925,20190102:0600,17.0,16.2,92.0,15.7
15752,20190102:0700,19.0,16.8,79.0,15.3
3925,20190102:0700,18.0,16.9,89.0,16.2
15752,20190102:0800,21.1,18.1,73.0,16.1
3925,20190102:0800,19.6,17.7,82.0,16.5
15752,20190102:0900,21.1,18.1,73.0,16.1
3925,20190102:0900,20.2,18.2,81.0,16.9
15752,20190102:1000,18.5,16.8,83.0,15.6
3925,20190102:1000,22.4,18.2,65.0,15.5
15752,20190102:1100,18.9,16.8,80.0,15.4
3925,20190102:1100,24.4,17.7,49.0,13.0
15752,20190102:1200,19.8,17.4,78.0,15.9
3925,20190102:1200,23.8,17.1,48.0,12.2
15752,20190102:1300,20.0,17.3,75.0,15.4
3925,20190102:1300,24.0,17.4,49.0,12.7
15752,20190102:1400,21.5,18.1,70.0,15.8
3925,20190102:1400,23.7,17.6,52.0,13.3
15752,20190102:1500,20.4,17.1,70.0,14.8
3925,20190102:1500,23.0,17.6,56.0,13.8
15752,20190102:1600,19.4,16.4,72.0,14.2
3925,20190102:1600,22.2,17.2,58.0,13.6
15752,20190102:1700,19.9,16.7,71.0,14.5
3925,20190102:1700,21.2,17.4,67.0,14.8
15752,20190102:1800,19.2,16.0,70.0,13.6
3925,20190102:1800,20.3,17.2,72.0,15.1
15752,20190102:1900,18.8,15.3,67.0,12.6
3925,20190102:1900,19.9,17.2,75.0,15.4
15752,20190102:2000,18.2,15.9,78.0,14.3
3925,20190102:2000,19.6,17.0,76.0,15.3
15752,20190102:2100,17.2,15.3,81.0,13.9
3925,20190102:2100,19.4,17.1,78.0,15.5
15752,20190102:2200,16.8,14.8,80.0,13.3
3925,20190102:2200,19.0,17.1,82.0,15.9
15752,20190102:2300,16.6,14.6,79.0,12.9
3925,20190102:2300,18.4,17.1,87.0,16.2
15752,20190103:0000,16.7,14.0,73.0,11.8
3925,20190103:0000,18.3,17.2,89.0,16.5
15752,20190103:0100,16.6,13.5,69.0,10.9
3925,20190103:0100,18.2,17.1,89.0,16.4
15752,20190103:0200,16.3,13.6,72.0,11.2
3925,20190103:0200,16.9,16.0,91.0,15.4
15752,20190103:0300,16.5,14.1,75.0,12.1
3925,20190103:0300,16.2,15.6,94.0,15.2
15752,20190103:0400,16.0,14.2,81.0,12.8
3925,20190103:0400,16.4,15.7,93.0,15.3
15752,20190103:0500,15.9,14.0,80.0,12.5
3925,20190103:0500,16.5,15.7,91.0,15.0
15752,20190103:0600,15.6,13.7,80.0,12.2
3925,20190103:0600,16.4,15.6,92.0,15.1
15752,20190103:0700,16.7,14.2,75.0,12.3
3925,20190103:0700,17.1,16.1,90.0,15.5
15752,20190103:0800,17.4,14.7,73.0,12.5
3925,20190103:0800,19.1,17.2,82.0,16.0
